Source,Subsystem,Count,Sender IPs,Log Levels,Search Matches
engine,Audit.Engine.Qlik.Sense.Logging.QSLogManagerBase,2,192.168.100.109; 192.168.100.110,INFO,
engine,Audit.Repository.Qlik.Sense.Communication.Communication.Header.HeaderParser,4,192.168.100.109; 192.168.100.110,DEBUG,
engine,Audit.Repository.Qlik.Sense.Communication.Communication.Tcp.StreamFactory,2,192.168.100.109; 192.168.100.110,DEBUG,
engine,Audit.Repository.Qlik.Sense.Communication.Communication.Tcp.TcpClientWrapperFactory`1,2,192.168.100.109; 192.168.100.110,DEBUG,
engine,Audit.Repository.Repository.Core.Repository.Common.FileSystemRequestManager,14,192.168.100.109,INFO,
engine,Audit.Repository.Repository.Core.Repository.ExtensionRepository,3,192.168.100.109,INFO,
engine,Audit.Repository.Repository.Core.Security.SecurityFilterResultCache,12,192.168.100.109; 192.168.100.110,DEBUG,
engine,Audit.Repository.Repository.Core.StaticContent.ExtensionReferencesHandler,11,192.168.100.109,INFO,
engine,AuditSecurity.Repository.Repository.Core.Licensing.LicenseMaintenance,2,192.168.100.109,INFO,
engine,ExternalServices.Engine.Qlik.Sense.Logging.QSLogManagerBase,2,192.168.100.109; 192.168.100.110,INFO,
engine,HttpTraffic.Engine.Qlik.Sense.Logging.QSLogManagerBase,2,192.168.100.109; 192.168.100.110,INFO,
engine,License.Repository.Repository.Core.Licensing.LicenseMaintenance,2,192.168.100.109,INFO,
engine,Performance.Engine.Engine,3,192.168.100.109; 192.168.100.110,INFO,
engine,Performance.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
engine,Performance.Repository.Qlik.Sense.Common.Communication.REST.Server.Monitoring.RestPerformanceSession,1633,192.168.100.109; 192.168.100.110,DEBUG,
engine,Performance.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,5243,192.168.100.109; 192.168.100.110,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
engine,QixPerformance.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
engine,Security.Repository.Qlik.Sense.Common.Security.Cryptography.CryptoKey,25,192.168.100.109; 192.168.100.110,DEBUG; INFO,
engine,Security.Repository.Qlik.Sense.Common.Security.Cryptography.SecretsKey,1,192.168.100.110,INFO,
engine,Service.Engine.Engine,26,192.168.100.109; 192.168.100.110,INFO,
engine,Service.Repository.Repository.Core.Status.ServiceStatusWorker,1,192.168.100.109,WARN,
engine,Session.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
engine,SSE.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
engine,Synchronization.Repository.Repository.Core.Logging.LogCollector,4,192.168.100.109; 192.168.100.110,INFO,
engine,Synchronization.Repository.Repository.Core.Logging.RepositoryLogEntityManager,12,192.168.100.109; 192.168.100.110,DEBUG,
engine,Synchronization.Repository.Repository.Core.Repository.Notification.ChangeMonitor,299,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Engine.Engine,116,192.168.100.109; 192.168.100.110,DEBUG; INFO; WARN,
engine,System.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
engine,System.Repository.Qlik.Sense.Common.Communication.AsyncWebClient,24,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Qlik.Sense.Common.Communication.REST.Server.RESTEngine,1630,192.168.100.109; 192.168.100.110,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
engine,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,16,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionQueueHandler,2638,192.168.100.109; 192.168.100.110,DEBUG,22b106a8-e7ed-4466-b700-014f060bef16
engine,System.Repository.Qlik.Sense.Communication.Communication.Engine.EngineConnectivity,3,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Qlik.Sense.Communication.Communication.WebSocketProtocol.WebSocketSession,52,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Repository.Communication.StaticContent.FileReferenceServer,4,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkScheduler,132,192.168.100.109; 192.168.100.110,DEBUG; INFO,
engine,System.Repository.Repository.Core.Extensions.ExtensionBundleScriptExecutor,1,192.168.100.109,INFO,
engine,System.Repository.Repository.Core.Licensing.LicenseServer.LicenseServerFacade,10,192.168.100.110,DEBUG,
engine,System.Repository.Repository.Core.Logging.LogEntityManagerWorker,144,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Repository.Core.Repository.Notification.ChangeNotifier,320,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Repository.Core.Repository.Notification.NotificationListenerCollection,46,192.168.100.109; 192.168.100.110,DEBUG,
engine,System.Repository.Repository.Core.Repository.Notification.SystemNotificationSender,3,192.168.100.109; 192.168.100.110,INFO,
