Source,Subsystem,Count,Sender IPs,Log Levels,Search Matches
qseow-root,Audit.Engine.Engine,64,192.168.100.109,INFO,
qseow-root,Audit.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,Audit.Repository.Qlik.Sense.Communication.Communication.Header.HeaderParser,4,192.168.100.109,DEBUG,
qseow-root,Audit.Repository.Qlik.Sense.Communication.Communication.Tcp.StreamFactory,2,192.168.100.109,DEBUG,
qseow-root,Audit.Repository.Qlik.Sense.Communication.Communication.Tcp.TcpClientWrapperFactory`1,2,192.168.100.109,DEBUG,
qseow-root,Audit.Repository.Repository.Core.Repository.Common.FileSystemRequestManager,21,192.168.100.109,INFO,
qseow-root,Audit.Repository.Repository.Core.Repository.ExtensionRepository,3,192.168.100.109,INFO,
qseow-root,Audit.Repository.Repository.Core.Security.SecurityFilterResultCache,12,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,Audit.Repository.Repository.Core.StaticContent.ExtensionReferencesHandler,11,192.168.100.109,INFO,
qseow-root,AuditActivity.Engine.Engine,15,192.168.100.109,INFO,
qseow-root,AuditActivity.Repository.Repository.Communication.Clients.SchedulerClient,12,192.168.100.109,INFO,
qseow-root,AuditActivity.Repository.Repository.Core.Resource.TaskResource,12,192.168.100.109,INFO,
qseow-root,AuditSecurity.Repository.Qlik.Sense.Common.Logging.RESTLogEngine,1,192.168.100.109,INFO,
qseow-root,ExternalServices.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,HttpTraffic.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,Performance.Engine.Engine,8,192.168.100.109; 192.168.100.110,INFO,
qseow-root,Performance.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,Performance.Repository.Qlik.Sense.Common.Communication.REST.Server.Monitoring.RestPerformanceSession,1876,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,Performance.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,4775,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,Performance.Repository.Repository.Core.Monitoring.PerformanceLogger,3,192.168.100.109; 192.168.100.110,INFO,
qseow-root,QixPerformance.Engine.Engine,99,192.168.100.109; 192.168.100.110,INFO,
qseow-root,QixPerformance.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,Security.Repository.Qlik.Sense.Common.Security.Cryptography.CryptoKey,36,192.168.100.109,DEBUG,
qseow-root,Service.Engine.Engine,37,192.168.100.109,INFO,
qseow-root,Service.Repository.Repository.Core.Core,1,192.168.100.109,INFO,
qseow-root,Service.Repository.Repository.Core.Services.ApiService,2,192.168.100.109,INFO,
qseow-root,Service.Repository.Repository.Core.Services.SSLPingService,2,192.168.100.109,INFO,
qseow-root,Service.Repository.Repository.Core.Services.StatusService,2,192.168.100.109,INFO,
qseow-root,Service.Repository.Repository.Core.Status.EngineHealthCheckWorker,3,192.168.100.109,WARN,
qseow-root,Service.Repository.Repository.Core.Status.ServiceStatusWorker,8,192.168.100.109,WARN,
qseow-root,Service.Repository.Repository.QRSMain,1,192.168.100.109,INFO,
qseow-root,Session.Engine.Engine,56,192.168.100.109,INFO,
qseow-root,Session.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,SSE.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,Synchronization.Repository.Repository.Core.Logging.LogCollector,2,192.168.100.109,INFO,
qseow-root,Synchronization.Repository.Repository.Core.Logging.RepositoryLogEntityManager,13,192.168.100.109,DEBUG,
qseow-root,Synchronization.Repository.Repository.Core.Repository.Notification.ChangeMonitor,706,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Engine.Engine,705,192.168.100.109,DEBUG; INFO; WARN,
qseow-root,System.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,System.Repository.Qlik.Sense.Common.Communication.AsyncWebClient,43,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Qlik.Sense.Common.Communication.REST.Server.RESTEngine,1872,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,42,192.168.100.109,DEBUG; INFO,
qseow-root,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionQueueHandler,2411,192.168.100.109; 192.168.100.110,DEBUG; WARN,
qseow-root,System.Repository.Qlik.Sense.Common.ThreadWrapper,1,192.168.100.109,ERROR,
qseow-root,System.Repository.Qlik.Sense.Communication.Communication.Engine.EngineConnectivity,12,192.168.100.109,DEBUG,
qseow-root,System.Repository.Qlik.Sense.Communication.Communication.Engine.EngineConnectivity+EngineConnectivitySession,2,192.168.100.109,DEBUG,
qseow-root,System.Repository.Qlik.Sense.Communication.Communication.WebSocketProtocol.WebSocketSession,190,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Communication.StaticContent.FileReferenceServer,2,192.168.100.109,DEBUG,
qseow-root,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkManager,1,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkScheduler,596,192.168.100.109; 192.168.100.110,DEBUG; ERROR; INFO; WARN,
qseow-root,System.Repository.Repository.Core.Core,21,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Engine.Logging.LogPipeServer,10,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Extensions.ExtensionBundleScriptExecutor,1,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Licensing.LicenseServer.LicenseServerFacade,1,192.168.100.109,DEBUG,
qseow-root,System.Repository.Repository.Core.Logging.LogEntityManagerWorker,189,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Core.Maintenance.ExecutionResults.ExecutionResultMaintenance,10,192.168.100.109,DEBUG,
qseow-root,System.Repository.Repository.Core.Repository.Notification.ChangeNotifier,774,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Core.Repository.Notification.NotificationListenerCollection,106,192.168.100.109,DEBUG,
qseow-root,System.Repository.Repository.Core.Repository.Notification.SystemNotificationSender,2,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Resource.LogArchivingResource,70,192.168.100.109,DEBUG,
qseow-root,System.Repository.Repository.Core.Resource.NotificationResource,21,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Core.Resource.Support.ExtensionSchemaCache,3,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.ServerNodes.RoleActionExecuter,2,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Services.ApiService,2,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Services.SSLPingService,2,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Services.StatusService,2,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.Core.Status.EngineHealthCheckWorker,845,192.168.100.109; 192.168.100.110,DEBUG; WARN,
qseow-root,System.Repository.Repository.Core.Status.ServiceStatusWorker,7,192.168.100.109,WARN,
qseow-root,System.Repository.Repository.QRSMain,1,192.168.100.109,INFO,
qseow-root,System.Repository.Repository.WebSocketServer.RepositoryWebSocketFactory,1,192.168.100.109,ERROR,
qseow-root,System.Repository.Repository.WebSocketServer.RepositoryWebSocketServer,1,192.168.100.109,DEBUG,
qseow-root,Traffic.Engine.Engine,201,192.168.100.109,INFO,
qseow-root,Traffic.Engine.Qlik.Sense.Logging.QSLogManagerBase,1,192.168.100.109,INFO,
qseow-root,Traffic.Repository.Qlik.Sense.Common.Communication.REST.Client.BaseRESTClient,150,192.168.100.110,DEBUG,
qseow-root,UserManagement.Repository.Repository.Users.Support.SyncUserRepository,3,192.168.100.109,DEBUG; INFO,
qseow-root,UserManagement.Repository.Repository.Users.SyncUsersWorker,32,192.168.100.109,DEBUG; INFO,
qseow-root,UserManagement.Repository.Repository.Users.UserSyncEngine,7,192.168.100.109,DEBUG; INFO,
