Source,Subsystem,Count,Sender IPs,Log Levels,Search Matches
qseow-root,Audit.Engine.Engine,1,192.168.100.109,INFO,
qseow-root,AuditActivity.Engine.Engine,7,192.168.100.109,INFO,
qseow-root,AuditActivity.Repository.Qlik.Sense.Common.Logging.RESTLogEngine,2,192.168.100.109,INFO,
qseow-root,AuditSecurity.Repository.Qlik.Sense.Common.Logging.RESTLogEngine,1,192.168.100.109,INFO,connection
qseow-root,AuditSecurity.Repository.Repository.Core.Licensing.AccessTypes.ProfessionalAccessTypeHandler,1,192.168.100.109,INFO,session
qseow-root,AuditSecurity.Repository.Repository.Core.Repository.ProfessionalAccessTypeRepository,1,192.168.100.109,INFO,
qseow-root,AuditSecurity.Repository.Repository.Core.Resource.UserResource,1,192.168.100.109,INFO,
qseow-root,License.Repository.Repository.Core.Licensing.AccessTypes.ProfessionalAccessTypeHandler,1,192.168.100.109,INFO,session
qseow-root,License.Repository.Repository.Core.Repository.ProfessionalAccessTypeRepository,1,192.168.100.109,INFO,
qseow-root,Performance.Engine.Engine,2,192.168.100.109; 192.168.100.110,INFO,
qseow-root,Performance.Repository.Qlik.Sense.Common.Communication.REST.Server.Monitoring.RestPerformanceSession,91,192.168.100.109; 192.168.100.110,DEBUG,session
qseow-root,Performance.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionHandler,574,192.168.100.109; 192.168.100.110,DEBUG,connection
qseow-root,QixPerformance.Engine.Engine,29,192.168.100.109,INFO,
qseow-root,Synchronization.Repository.Repository.Core.Repository.Notification.ChangeMonitor,121,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Engine.Engine,141,192.168.100.109,DEBUG; INFO,connection; session
qseow-root,System.Repository.Qlik.Sense.Common.Communication.AsyncWebClient,2,192.168.100.109,DEBUG,
qseow-root,System.Repository.Qlik.Sense.Common.Communication.REST.Server.RESTEngine,91,192.168.100.109; 192.168.100.110,DEBUG,connection
qseow-root,System.Repository.Qlik.Sense.Common.Communication.Server.HttpConnectionQueueHandler,287,192.168.100.109; 192.168.100.110,DEBUG,connection
qseow-root,System.Repository.Qlik.Sense.Communication.Communication.WebSocketProtocol.WebSocketSession,68,192.168.100.109; 192.168.100.110,DEBUG,session
qseow-root,System.Repository.Repository.Core.BackgroundWork.BackgroundWorkScheduler,192,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Core.Repository.Notification.ChangeNotifier,88,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Core.Repository.Notification.NotificationListenerCollection,3,192.168.100.109,DEBUG,
qseow-root,System.Repository.Repository.Core.Resource.NotificationResource,4,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,System.Repository.Repository.Core.Status.EngineHealthCheckWorker,312,192.168.100.109; 192.168.100.110,DEBUG,
qseow-root,Traffic.Engine.Engine,59,192.168.100.109,INFO,connection; session
qseow-root,Traffic.Repository.Qlik.Sense.Common.Communication.REST.Client.BaseRESTClient,48,192.168.100.110,DEBUG,
qseow-root,UserManagement.Repository.Repository.Users.Factories.UserDirectoryFactory,12,192.168.100.109,DEBUG,
qseow-root,UserManagement.Repository.Repository.Users.Support.SyncUserRepository,3,192.168.100.109,DEBUG; INFO,
qseow-root,UserManagement.Repository.Repository.Users.SyncUsersWorker,45,192.168.100.109,DEBUG; INFO,
qseow-root,UserManagement.Repository.Repository.Users.UserSyncEngine,4,192.168.100.109,DEBUG; INFO,
